"","log_depth","SST","SBT","SBS","SST_seasonality","SBT_seasonality","SBS_seasonality","mixed_layer","ice_days"
"1639",5.50838410786266,7.6145363,4.642648,34.83632,0.870197410631239,0.0900071815151314,0.0142579659492317,29.63972,0
"1640",5.22671733150473,7.1088376,4.1527305,34.810028,0.914296793158371,0.13460045452114,0.00981933349773296,22.36551,0
"1641",5.38483963644429,7.37897,3.9351535,34.722412,1.09565207157104,0.0815392161032262,0.0128028172869086,24.668007,0
"1642",5.13160453728698,3.8284464,2.0374823,34.9708,2.5443810053586,0.382640885810264,0.0311259634923892,5.4176717,100
"1643",5.13160453728698,3.7404616,2.055182,34.969734,2.5443810053586,0.382640885810264,0.0311259634923892,5.554776,100
"1644",5.30710826314076,3.6557727,0.6770292,34.93253,2.80246286945263,0.803012498949002,0.0480751259266396,7.7390985,82
"1645",5.11530913404627,4.116694,2.2716172,34.867924,1.97199536385076,0.579710155430978,0.043592994212217,8.596831,24
"1646",6.26371802098727,5.85053,3.2470925,35.089653,1.93780153152364,0.362367052573538,0.0132633205726905,11.611284,0
"1647",6.87993314805361,5.4516196,-0.4276999,35.047092,1.68066714686339,0.130130337148795,0.010950606692942,16.538237,0
"1648",5.50065231274,4.6727686,2.4670465,34.978878,2.07359580725406,0.608775676113598,0.0104517993854958,11.00277,0
"1649",5.54509583958747,5.9389906,3.7660015,35.081856,2.04643690167901,0.263150929404955,0.00741440451093664,17.746227,0
"1650",6.611363426276,5.724512,1.2362157,35.012733,1.67392469040241,0.163555474270175,0.0100256484951873,16.291372,0
"1651",4.59681921347925,4.5814204,4.7067647,34.894302,1.51316326220751,0.246346892778899,0.140608208633026,10.774301,2
"1652",6.56374607061257,5.2445865,1.4403523,34.98876,1.6000069606066,0.133774888176904,0.0085604035663247,17.941534,0
"1653",5.58625160720274,5.0087175,3.889575,35.073124,1.36329961950203,0.277565278689251,0.00860231822167148,17.069975,0
"1654",6.36942621260843,5.6670337,2.0785189,35.01167,1.59884421313563,0.228029764527653,0.0070006561530831,20.72467,0
"1655",5.0863277531445,4.383264,2.2949774,34.98312,1.11083496914758,0.511064386586343,0.0207236737748228,11.660301,16
"1656",5.59662612523153,5.4193454,3.4656842,35.06344,1.46168914749871,0.406515172060374,0.0135505641020717,17.656515,0
"1657",6.54937337902255,5.360675,1.5944604,35.045033,1.45141720263539,0.225423528579927,0.00597905153418552,20.34885,0
"1658",5.59354400703774,4.628437,3.425626,35.014435,1.31571702803251,0.317825561888973,0.0152693961477224,15.323015,0
"1659",6.52785083586611,4.769846,2.2892246,35.027958,1.181717224966,0.140428803551141,0.0121660723589845,17.061857,0
"1660",6.58270745453901,3.07709,1.8161981,35.032383,1.46491211674588,0.0851662026977578,0.0100596526134027,15.700488,7
"1661",6.93177283450446,-0.55240464,0.45533177,35.004456,2.2156158314823,0.0774203959915549,0.00570165153943253,19.097075,96
